Column1,01/01/2025,02/01/2025,06/01/2025,07/01/2025,20/01/2025,24/01/2025,27/01/2025,28/01/2025,29/01/2025,30/01/2025,03/02/2025,08/02/2025,10/02/2025,16/02/2025,17/02/2025,24/02/2025,28/02/2025,01/03/2025,03/03/2025,08/03/2025,10/03/2025,11/03/2025,15/03/2025,17/03/2025,19/03/2025,21/03/2025,25/03/2025,31/03/2025,01/04/2025,04/04/2025,05/04/2025,17/04/2025,18/04/2025,19/04/2025,20/04/2025,21/04/2025,23/04/2025,24/04/2025,25/04/2025,26/04/2025,27/04/2025,28/04/2025,01/05/2025,02/05/2025,03/05/2025,04/05/2025,05/05/2025,06/05/2025,08/05/2025,09/05/2025,11/05/2025,17/05/2025,19/05/2025,24/05/2025,26/05/2025,29/05/2025,30/05/2025,31/05/2025,01/06/2025,02/06/2025,06/06/2025,07/06/2025,08/06/2025,09/06/2025,10/06/2025,16/06/2025,17/06/2025,19/06/2025,20/06/2025,21/06/2025,22/06/2025,23/06/2025,24/06/2025,25/06/2025,29/06/2025,01/07/2025,04/07/2025,05/07/2025,06/07/2025,12/07/2025,14/07/2025,21/07/2025,25/07/2025,28/07/2025,01/08/2025,04/08/2025,05/08/2025,09/08/2025,15/08/2025,18/08/2025,20/08/2025,25/08/2025,29/08/2025,01/09/2025,06/09/2025,08/09/2025,11/09/2025,15/09/2025,20/09/2025,21/09/2025,22/09/2025,24/09/2025,28/09/2025,29/09/2025,30/09/2025,01/10/2025,03/10/2025,05/10/2025,06/10/2025,07/10/2025,08/10/2025,09/10/2025,12/10/2025,13/10/2025,23/10/2025,26/10/2025,27/10/2025,28/10/2025,31/10/2025,01/11/2025,02/11/2025,04/11/2025,11/11/2025,17/11/2025,18/11/2025,19/11/2025,27/11/2025,30/11/2025,01/12/2025,06/12/2025,08/12/2025,13/12/2025,16/12/2025,24/12/2025,25/12/2025,26/12/2025,31/12/2025,01/01/2026,02/01/2026,06/01/2026,07/01/2026,19/01/2026,24/01/2026,26/01/2026,02/02/2026,08/02/2026,10/02/2026,16/02/2026,17/02/2026,18/02/2026,23/02/2026,24/02/2026,28/02/2026,01/03/2026,02/03/2026,03/03/2026,08/03/2026,09/03/2026,11/03/2026,15/03/2026,17/03/2026,19/03/2026,21/03/2026,25/03/2026,31/03/2026,01/04/2026,02/04/2026,03/04/2026,04/04/2026,05/04/2026,06/04/2026,10/04/2026,11/04/2026,12/04/2026,13/04/2026,23/04/2026,25/04/2026,27/04/2026,01/05/2026,02/05/2026,03/05/2026,04/05/2026,05/05/2026,06/05/2026,08/05/2026,09/05/2026,10/05/2026,14/05/2026,17/05/2026,18/05/2026,24/05/2026,25/05/2026,30/05/2026,31/05/2026,01/06/2026,02/06/2026,04/06/2026,06/06/2026,07/06/2026,08/06/2026,09/06/2026,10/06/2026,16/06/2026,17/06/2026,19/06/2026,20/06/2026,21/06/2026,22/06/2026,23/06/2026,24/06/2026,25/06/2026,29/06/2026,01/07/2026,03/07/2026,05/07/2026,06/07/2026,12/07/2026,13/07/2026,14/07/2026,21/07/2026,25/07/2026,28/07/2026,01/08/2026,03/08/2026,05/08/2026,10/08/2026,15/08/2026,17/08/2026,20/08/2026,29/08/2026,31/08/2026,06/09/2026,07/09/2026,08/09/2026,10/09/2026,11/09/2026,15/09/2026,20/09/2026,21/09/2026,22/09/2026,24/09/2026,25/09/2026,26/09/2026,28/09/2026,30/09/2026,01/10/2026,03/10/2026,05/10/2026,09/10/2026,12/10/2026,23/10/2026,26/10/2026,28/10/2026,31/10/2026,01/11/2026,02/11/2026,03/11/2026,11/11/2026,17/11/2026,18/11/2026,26/11/2026,30/11/2026,01/12/2026,06/12/2026,08/12/2026,13/12/2026,16/12/2026,24/12/2026,25/12/2026,26/12/2026,28/12/2026,31/12/2026
Austria,New Years Day,0,Epiphany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Easter Sunday,Easter Monday,0,0,0,0,0,0,National Holiday,0,0,0,0,0,0,0,0,0,0,0,0,Ascension Day,0,0,0,0,0,0,Pentecost,Whit Monday,0,0,0,Corpus Christi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Assumption Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,National Holiday,0,0,0,All Saints Day,0,0,0,0,0,0,0,0,0,0,Immaculate Conception,0,0,0,Christmas Day,St. Stephens Day,0,New Years Day,0,Epiphany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Easter Sunday,Easter Monday,0,0,0,0,0,0,0,National Holiday,0,0,0,0,0,0,0,0,Ascension Day,0,0,Pentecost,Whit Monday,0,0,0,0,Corpus Christi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Assumption Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,National Holiday,0,0,All Saints Day,0,0,0,0,0,0,0,0,0,Immaculate Conception,0,0,0,Christmas Day,St. Stephens Day,0,0
Australia,New Years Day,0,0,0,0,0,Australia Day,0,0,0,0,0,0,0,0,0,0,0,Labour Day,0,Labour Day,0,0,0,0,0,0,0,0,0,0,0,Good Friday,Holy Saturday,Easter Sunday,Easter Monday,0,0,Anzac Day,0,0,0,0,0,0,0,Labour Day,0,0,0,0,0,0,0,0,0,0,0,0,Western Australia Day,0,0,0,Kings Birthday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Picnic Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kings Birthday,0,0,0,0,Kings Birthday,0,0,0,0,0,0,0,0,0,0,0,0,Melbourne Cup,0,0,0,0,0,0,0,0,0,0,0,0,Christmas Day,St. Stephens Day,0,New Years Day,0,0,0,0,0,Australia Day,0,0,0,0,0,0,0,0,0,0,Labour Day,0,0,Labour Day,0,0,0,0,0,0,0,0,0,Good Friday,Holy Saturday,Easter Sunday,Easter Monday,0,0,0,0,0,Anzac Day,0,0,0,0,Labour Day,0,0,0,0,0,0,0,0,0,0,0,0,Western Australia Day,0,0,0,0,Kings Birthday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Picnic Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friday before AFL Grand Final (Tentative Date),0,Kings Birthday,0,0,0,Kings Birthday,0,0,0,0,0,0,0,0,Melbourne Cup,0,0,0,0,0,0,0,0,0,0,0,Christmas Day,0,St. Stephens Day,0
Belgium,New Years Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Easter Sunday,Easter Monday,0,0,0,0,0,0,Labour Day,0,0,0,0,0,0,0,0,0,0,0,0,Ascension Day,0,0,0,0,0,0,0,Whit Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belgian National Day,0,0,0,0,0,0,Assumption Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Saints Day,0,0,Armistice Day,0,0,0,0,0,0,0,0,0,0,0,Christmas Day,0,0,New Years Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Easter Sunday,Easter Monday,0,0,0,0,0,0,0,Labour Day,0,0,0,0,0,0,0,0,Ascension Day,0,0,0,Whit Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belgian National Day,0,0,0,0,0,0,Assumption Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Saints Day,0,0,Armistice Day,0,0,0,0,0,0,0,0,0,0,Christmas Day,0,0,0
Bulgaria,New Years Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Liberation Day,0,0,0,0,0,0,0,0,0,0,0,0,0,Good Friday,Holy Saturday,Easter Sunday,Easter Monday,0,0,0,0,0,0,International Workers Day,0,0,0,0,Saint Georges Day,0,0,0,0,0,Saints Cyril and Methodius Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unification Day,0,0,0,0,0,Independence Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Christmas Eve,Christmas Day,Second day of Christmas,0,New Years Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Liberation Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Good Friday,Holy Saturday,Easter Sunday,Easter Monday,0,0,0,International Workers Day,0,0,0,0,Saint Georges Day,0,0,0,0,0,0,Saints Cyril and Methodius Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unification Day,0,0,0,0,0,0,0,Independence Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Christmas Eve,Christmas Day,Second day of Christmas,0,0
Canada,New Years Day,0,0,0,0,0,0,0,0,0,0,0,0,0,Family Day,0,0,0,0,0,0,0,0,Saint Patricks Day,0,0,0,0,0,0,0,0,Good Friday,0,0,Easter Monday,Saint Georges Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Victoria Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,National Aboriginal Day,0,0,National Holiday,0,0,Canada Day,0,0,0,Orangemens Day,0,0,0,0,0,Saskatchewan Day,0,0,0,Discovery Day,0,0,0,Labour Day,0,0,0,0,0,0,0,0,0,0,National Day for Truth and Reconciliation,0,0,0,0,0,0,0,0,Thanksgiving,0,0,0,0,0,0,0,0,Remembrance Day,0,0,0,0,0,0,0,0,0,0,0,Christmas Day,St. Stephens Day,0,New Years Day,0,0,0,0,0,0,0,0,0,Family Day,0,0,0,0,0,0,0,0,0,0,0,0,Saint Patricks Day,0,0,0,0,0,0,Good Friday,0,0,Easter Monday,0,0,0,0,Saint Georges Day,0,0,0,0,0,0,0,0,0,0,0,0,0,Victoria Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,National Aboriginal Day,0,0,National Holiday,0,0,Canada Day,0,0,0,Orangemens Day,0,0,0,0,0,0,Saskatchewan Day,0,0,0,Discovery Day,0,0,0,0,Labour Day,0,0,0,0,0,0,0,0,0,0,0,National Day for Truth and Reconciliation,0,0,0,0,Thanksgiving,0,0,0,0,0,0,0,Remembrance Day,0,0,0,0,0,0,0,0,0,0,Christmas Day,St. Stephens Day,0,0
Switzerland,New Years Day,St. Berchtolds Day,Epiphany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Republic Day,0,0,0,0,0,0,Saint Josephs Day,0,0,0,0,Näfels procession,0,0,Good Friday,0,0,Easter Monday,0,0,0,0,0,0,Labour Day,0,0,0,0,0,0,0,0,0,0,0,0,Ascension Day,0,0,0,0,0,0,0,Whit Monday,0,0,0,Corpus Christi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swiss National Day,0,0,0,Assumption of the Virgin Mary,0,0,0,0,0,0,0,Geneva Prayday,0,0,0,Federal Fast Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Saints Day,0,0,0,0,0,0,0,0,0,0,Immaculate Conception,0,0,0,Christmas Day,St. Stephens Day,Restoration Day,New Years Day,St. Berchtolds Day,Epiphany,0,0,0,0,0,0,0,0,0,0,0,0,0,Republic Day,0,0,0,0,0,0,0,Saint Josephs Day,0,0,0,0,0,Good Friday,Näfels procession,0,Easter Monday,0,0,0,0,0,0,0,Labour Day,0,0,0,0,0,0,0,0,Ascension Day,0,0,0,Whit Monday,0,0,0,0,Corpus Christi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swiss National Day,0,0,0,Assumption of the Virgin Mary,0,0,0,0,0,0,0,Geneva Prayday,0,0,0,Federal Fast Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Saints Day,0,0,0,0,0,0,0,0,0,Immaculate Conception,0,0,0,Christmas Day,St. Stephens Day,0,Restoration Day
China,New Years Day,0,0,0,0,0,0,0,Chinese New Year (Spring Festival),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Qingming Festival (Tomb-Sweeping Day),0,0,0,0,0,0,0,0,0,0,0,Labour Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dragon Boat Festival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,National Day,0,0,Mid-Autumn Festival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New Years Day,0,0,0,0,0,0,0,0,0,0,Chinese New Year (Spring Festival),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Qingming Festival (Tomb-Sweeping Day),0,0,0,0,0,0,0,0,Labour Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dragon Boat Festival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid-Autumn Festival,0,0,0,National Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,New Years Day,0,Epiphany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Green Monday,0,0,0,0,0,0,0,Greek Independence Day,0,Cyprus National Day,0,0,0,Good Friday,0,0,Easter Monday,0,0,0,0,0,0,Labour Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pentecost,Whit Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Assumption of the Virgin Mary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cyprus Independence Day,0,0,0,0,0,0,0,0,0,0,0,Ohi Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Christmas Eve,Christmas Day,St. Stephens Day,0,New Years Day,0,Epiphany,0,0,0,0,0,0,0,0,0,0,Green Monday,0,0,0,0,0,0,0,0,0,0,0,0,Greek Independence Day,0,Cyprus National Day,0,0,0,0,0,Good Friday,0,0,Easter Monday,0,0,0,Labour Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pentecost,Whit Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Assumption of the Virgin Mary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cyprus Independence Day,0,0,0,0,0,0,Ohi Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Christmas Eve,Christmas Day,St. Stephens Day,0,0
Czechia,New Years Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Good Friday,0,0,Easter Monday,0,0,0,0,0,0,Labour Day,0,0,0,0,0,Liberation Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saints Cyril and Methodius Day,Jan Hus Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,St. Wenceslas Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Independent Czechoslovak State Day,0,0,0,0,0,Struggle for Freedom and Democracy Day,0,0,0,0,0,0,0,0,0,Christmas Eve,Christmas Day,St. Stephens Day,0,New Years Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Good Friday,0,0,Easter Monday,0,0,0,0,0,0,0,Labour Day,0,0,0,0,0,Liberation Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saints Cyril and Methodius Day,Jan Hus Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,St. Wenceslas Day,0,0,0,0,0,0,0,0,Independent Czechoslovak State Day,0,0,0,0,0,Struggle for Freedom and Democracy Day,0,0,0,0,0,0,0,0,Christmas Eve,Christmas Day,St. Stephens Day,0,0
Germany,New Years Day,0,Epiphany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,International Womens Day,0,0,0,0,0,0,0,0,0,0,0,0,Good Friday,0,Easter Sunday,Easter Monday,0,0,0,0,0,0,Labour Day,0,0,0,0,0,Liberation Day,0,0,0,0,0,0,Ascension Day,0,0,0,0,0,0,Pentecost,Whit Monday,0,0,0,Corpus Christi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Assumption Day,0,0,0,0,0,0,0,0,0,World Childrens Day,0,0,0,0,0,0,0,German Unity Day,0,0,0,0,0,0,0,0,0,0,0,Reformation Day,All Saints Day,0,0,0,0,0,Repentance and Prayer Day,0,0,0,0,0,0,0,0,Christmas Day,St. Stephens Day,0,New Years Day,0,Epiphany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,International Womens Day,0,0,0,0,0,0,0,0,0,0,Good Friday,0,Easter Sunday,Easter Monday,0,0,0,0,0,0,0,Labour Day,0,0,0,0,0,0,0,0,Ascension Day,0,0,Pentecost,Whit Monday,0,0,0,0,Corpus Christi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Assumption Day,0,0,0,0,0,0,0,0,0,0,World Childrens Day,0,0,0,0,0,0,0,0,German Unity Day,0,0,0,0,0,0,Reformation Day,All Saints Day,0,0,0,0,Repentance and Prayer Day,0,0,0,0,0,0,0,0,Christmas Day,St. Stephens Day,0,0
